INDIVIDUALS,POPULATION,STRATA,LOCATION,REGION,LATITUDE,LONGITUDE,STATE
E09_CC-1-B,Carter Caves,KY,KY,Interior Low Plateau,38.22027,-83.07409,KY
E09_PIN-05,The Pinnacle,VA,VA,Central Appalachian Mountains,36.575016,-82.3547,VA
E10_FCR-3,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
E10_LE-02,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
E11_FCR-11,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
E11_LE-11,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
E12_PH-4,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
F01_PH-13,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
F01_SC-06,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
F02_SC-14,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
F02_SELU-07,SELU,VA,VA,Central Appalachian Mountains,37.050129,-80.333659,VA
F03_KM-5,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
F03_SP-07,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
F04_KM-13,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
F04_SP-15,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
F05_BR-06,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
F05_TC-AC-8,Town Creek,MD,MD,Central Appalachian Mountains,39.58903,-78.56191,MD
F06_BF-P1-02,Brush Creek Falls 1,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
F06_BR-14,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
F07_SH-06,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
F08_SH-13,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
